rank,name,version,status,category,artifact_verified,compilation_completed,evidence_scope,sources_checked,source_files_total,remaining,wheel_filename,wheel_sha256,requires_python,evidence
1,boto3,1.43.89,incompatible,syntax,True,False,verified_artifact,1,39,38,boto3-1.43.89-py3-none-any.whl,fe4190afe63eb562b6ba6a3911cf4427473b35fa047adde093bf696d3ae09fc0,>= 3.10,"Verified wheel source fails compilation at boto3/__init__.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/boto3/__init__.py"", line 38
    def set_stream_logger(name='boto3', level=logging.DEBUG, format_string=None):
SyntaxError: expected a literal, got '@id'
error: Python syntax check failed for '<staging>/wheel/boto3/__init__.py' (no source was executed)"
2,packaging,26.3,incompatible,syntax,True,False,verified_artifact,2,22,20,packaging-26.3-py3-none-any.whl,d7193f7c8e4e93f444fde0262bf90af30e16fa0ad0ad44cb553c87339b23cd1c,>=3.9,"Verified wheel source fails compilation at packaging/_elffile.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/packaging/_elffile.py"", line 51
    raise ELFInvalid(""unable to parse identification"") from e
SyntaxError: expected statement end
error: Python syntax check failed for '<staging>/wheel/packaging/_elffile.py' (no source was executed)"
3,typing-extensions,4.16.0,incompatible,syntax,True,False,verified_artifact,1,1,0,typing_extensions-4.16.0-py3-none-any.whl,481caa481374e813c1b176ada14e97f1f67a4539ce9cfeb3f350d78d6370c2e8,>=3.9,"Verified wheel source fails compilation at typing_extensions.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/typing_extensions.py"", line 521
    A type that can be used to indicate to type checkers
SyntaxError: invalid escape char
error: Python syntax check failed for '<staging>/wheel/typing_extensions.py' (no source was executed)"
4,certifi,2026.7.22,unverified,unverified,True,True,verified_artifact,5,5,0,certifi-2026.7.22-py3-none-any.whl,62f22742b58a1a33014a2b6b706588a8d7e2a88ae7bd1a6ebe8c992928483775,>=3.7,"All 5 Python source files compile. Imports, runtime APIs, dependency closure, assets, and behavior were not exercised; this is not a tested compatibility result."
5,idna,3.19,incompatible,syntax,True,False,verified_artifact,3,10,7,idna-3.19-py3-none-any.whl,815e7be7a7806d54abb586dc943addc79e8b2ee16915059658cbeff4b1b43bf4,>=3.9,"Verified wheel source fails compilation at idna/cli.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/idna/cli.py"", line 24
    return any(label.lower().startswith(prefix) for label in _unicode_dots_re.split(s))
SyntaxError: expected ')', got 'for'
error: Python syntax check failed for '<staging>/wheel/idna/cli.py' (no source was executed)"
6,urllib3,2.7.0,incompatible,syntax,True,False,verified_artifact,1,36,35,urllib3-2.7.0-py3-none-any.whl,9fb4c81ebbb1ce9531cce37674bbc6f1360472bc18ca9a553ede278ef7276897,>=3.10,"Verified wheel source fails compilation at urllib3/__init__.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/urllib3/__init__.py"", line 33
    else:
SyntaxError: expected an expression, got else
error: Python syntax check failed for '<staging>/wheel/urllib3/__init__.py' (no source was executed)"
7,requests,2.34.2,incompatible,syntax,True,False,verified_artifact,1,19,18,requests-2.34.2-py3-none-any.whl,2a0d60c172f83ac6ab31e4554906c0f3b3588d37b5cb939b1c061f4907e278e0,>=3.10,"Verified wheel source fails compilation at requests/__init__.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/requests/__init__.py"", line 121
    f""({chardet_version})/charset_normalizer ({charset_normalizer_version}) ""
SyntaxError: expected ')', got '@fstr-begin'
error: Python syntax check failed for '<staging>/wheel/requests/__init__.py' (no source was executed)"
8,charset-normalizer,3.5.1,incompatible,syntax,True,False,verified_artifact,3,12,9,charset_normalizer-3.5.1-py3-none-any.whl,6df0ec430f9a831772c23ca5a224cba36517a58a84bb32c32bb59a9fa67c47f6,>=3.7,"Verified wheel source fails compilation at charset_normalizer/api.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/charset_normalizer/api.py"", line 364
    if decoded_payload and decoded_payload[0] == ""\ufeff"":
SyntaxError: invalid escape char
error: Python syntax check failed for '<staging>/wheel/charset_normalizer/api.py' (no source was executed)"
9,setuptools,84.0.0,incompatible,syntax,True,False,verified_artifact,1,224,223,setuptools-84.0.0-py3-none-any.whl,51a52592b3b99e102b609654876bd65f19f999935166d1352678931132b0c670,>=3.10,"Verified wheel source fails compilation at _distutils_hack/__init__.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/_distutils_hack/__init__.py"", line 34
    f""Register concerns at {report_url}""
SyntaxError: expected ')', got '@fstr-begin'
error: Python syntax check failed for '<staging>/wheel/_distutils_hack/__init__.py' (no source was executed)"
10,cryptography,50.0.1,incompatible,native_only,False,False,metadata,0,,,cryptography-50.0.1-cp311-abi3-macosx_11_0_arm64.whl,b8f852c65863251b9e3a1b8c150ce21e59b522dbb6a7d4bc80e680d38388e986,"!=3.9.0,!=3.9.1,>=3.9",The selected release has no generic Python3 pure wheel; its published wheels require a platform/ABI or a different Python implementation tag. Artifact bytes were not downloaded. Older releases and source builds were not evaluated.
11,cffi,2.1.1,incompatible,native_only,False,False,metadata,0,,,cffi-2.1.1-cp310-cp310-macosx_10_15_x86_64.whl,baed1e86cc735622097354b9d1281406caf42ff42a886d29faa8e8d1630333be,>=3.10,The selected release has no generic Python3 pure wheel; its published wheels require a platform/ABI or a different Python implementation tag. Artifact bytes were not downloaded. Older releases and source builds were not evaluated.
12,pluggy,1.6.0,incompatible,syntax,True,False,verified_artifact,2,8,6,pluggy-1.6.0-py3-none-any.whl,e920276dd6813095e9377c0bc5566d94c932c33b27a3e3945d8389c374dd4746,>=3.9,"Verified wheel source fails compilation at pluggy/_callers.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/pluggy/_callers.py"", line 38
    res = yield
SyntaxError: expected an expression, got yield
error: Python syntax check failed for '<staging>/wheel/pluggy/_callers.py' (no source was executed)"
13,pygments,2.21.0,incompatible,syntax,True,False,verified_artifact,3,343,340,pygments-2.21.0-py3-none-any.whl,2363c69b61c4a97c838da3b130dcd6468f4848992b21a82f2a63ec34377137d9,>=3.9,"Verified wheel source fails compilation at pygments/cmdline.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/pygments/cmdline.py"", line 49
    else:
SyntaxError: expected an expression, got else
error: Python syntax check failed for '<staging>/wheel/pygments/cmdline.py' (no source was executed)"
14,pyyaml,6.0.3,incompatible,native_only,False,False,metadata,0,,,PyYAML-6.0.3-cp38-cp38-macosx_10_13_x86_64.whl,c2514fceb77bc5e7a2f7adfaa1feb2fb311607c9cb518dbc378688ec73d8292f,>=3.8,The selected release has no generic Python3 pure wheel; its published wheels require a platform/ABI or a different Python implementation tag. Artifact bytes were not downloaded. Older releases and source builds were not evaluated.
15,botocore,1.43.89,incompatible,syntax,True,False,verified_artifact,1,76,75,botocore-1.43.89-py3-none-any.whl,d7211220c815427fe71225acc6909e4ab5dfab3b03770e72fd16cf9eb86b3d1a,>= 3.10,"Verified wheel source fails compilation at botocore/__init__.py. This is the first concrete blocker; later files were not checked.
Traceback (most recent call last):
  File ""<staging>/wheel/botocore/__init__.py"", line 203
    def xform_name(name, sep='_', _xform_cache=_xform_cache):
SyntaxError: expected a literal, got '@id'
error: Python syntax check failed for '<staging>/wheel/botocore/__init__.py' (no source was executed)"
